Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Combined Stress (Pa)
279	-7.0002e-002	-3.0001e-002	-4.9998e-002	1.4022e+006
303	-2.0002e-002	7.0001e-002	3.0002e-002	6.7223e+005
310	-2.2e-006	6.e-007	3.0002e-002	384.91
315	0.13	6.e-007	3.0001e-002	7.4336e+005
317	0.11235	6.e-007	2.059e-002	9.3183e+005
316	0.12117	6.e-007	2.5296e-002	1.0651e+006
318	0.10353	6.e-007	1.5884e-002	8.0266e+005
324	5.0586e-002	6.e-007	-1.2351e-002	1.1323e+005
323	5.941e-002	6.e-007	-7.6456e-003	2.1794e+005
325	4.1763e-002	6.e-007	-1.7057e-002	12586
326	3.2939e-002	6.e-007	-2.1763e-002	-83980
285	-7.0002e-002	-4.8001e-002	-8.3998e-002	1.8905e+006
291	-6.0002e-002	-5.8001e-002	-9.3998e-002	-3.3243e-013
294	-2.15e-006	3.0001e-002	3.e-002	1924.6
295	-1.0002e-002	4.0001e-002	3.e-002	1.8614e+006
296	-2.15e-006	4.0001e-002	3.0002e-002	2.045e+006
309	-5.0002e-002	0.1	3.0002e-002	384.91
308	-4.0002e-002	0.1	3.0002e-002	1924.6
320	8.588e-002	6.e-007	6.4721e-003	5.5655e+005
281	-8.0002e-002	-3.0001e-002	-5.9998e-002	8.045e+005
327	2.4116e-002	6.e-007	-2.6469e-002	-1.7647e+005
278	-6.0002e-002	-2.0001e-002	-4.9998e-002	2.5526e+005
293	-7.0002e-002	3.0001e-002	-4.9998e-002	1.4023e+006
328	0.17	1.0001e-002	3.0002e-002	5.5366e+005
307	-3.0002e-002	0.1	3.0002e-002	4.0908e+005
329	0.16	-1.0001e-002	3.0002e-002	6.1135e+005
300	-2.15e-006	6.0001e-002	3.0002e-002	5.7467e+005
330	0.17	-1.0001e-002	3.0002e-002	2.9454e+005
331	0.18	-1.0001e-002	3.0002e-002	1.4049e+005
206	-5.0002e-002	-2.0001e-002	-4.9998e-002	2.4385e+006
280	-7.0002e-002	-3.0001e-002	-5.9998e-002	1.8196e+006
319	9.4704e-002	6.e-007	1.1178e-002	6.7756e+005
338	0.21	-5.0001e-002	3.0001e-002	57352
337	0.21	-4.0001e-002	3.0001e-002	82756
365	-3.0002e-002	6.0001e-002	3.0002e-002	8853.
364	-2.0002e-002	6.0001e-002	3.0002e-002	20400
349	0.21	3.e-002	3.0001e-002	1.1278e+005
350	0.21	4.0001e-002	3.0001e-002	82756
339	0.21	-6.e-002	3.0001e-002	36567
369	-3.0002e-002	0.11	3.0002e-002	3.6742e+005
336	0.21	-3.e-002	3.0001e-002	1.1278e+005
335	0.21	-2.0001e-002	3.0001e-002	73904
343	0.21	-0.1	3.0001e-002	384.91
342	0.21	-9.e-002	3.0001e-002	1924.6
368	-2.15e-006	7.0001e-002	3.0002e-002	6.5414e+005
371	-1.0002e-002	0.1	3.0002e-002	4.1185e+005
372	-1.0002e-002	0.11	3.0002e-002	3.6499e+005
353	0.21	7.0001e-002	3.0001e-002	20400
354	0.21	8.0001e-002	3.0001e-002	8853.
374	-2.15e-006	0.12	3.0002e-002	5.7612e+005
375	-2.15e-006	0.13	3.0002e-002	2.6967e+005
376	-1.0002e-002	0.13	3.0002e-002	2.5214e+005
377	-1.0002e-002	0.14	3.0002e-002	1.911e+005
366	-4.0002e-002	6.0001e-002	3.0002e-002	1924.6
378	-1.0002e-002	0.15	3.0002e-002	1.6181e+005
379	-2.15e-006	0.15	3.0002e-002	1.6582e+005
346	0.2	1.0001e-002	3.0002e-002	1.4642e+005
345	0.2	-6.e-007	3.0001e-002	27280
382	-1.0002e-002	0.17	3.0002e-002	89703
383	-1.0002e-002	0.18	3.0002e-002	55923
384	-2.15e-006	0.18	3.0002e-002	1924.6
344	0.24	-6.e-007	7.0001e-002	7659.3
355	0.21	9.e-002	3.0001e-002	1924.6
356	0.21	0.1	3.0001e-002	384.91
333	0.2	-1.0001e-002	3.0002e-002	1.1509e+005
334	0.2	-2.0001e-002	3.0001e-002	93148
341	0.21	-8.0001e-002	3.0001e-002	8853.
340	0.21	-7.0001e-002	3.0001e-002	20400
380	-2.15e-006	0.16	3.0002e-002	2.2351e+005
381	-2.15e-006	0.17	3.0002e-002	99875
385	9.9979e-003	0.18	3.0002e-002	384.91
357	-5.0002e-002	3.0001e-002	-5.9998e-002	2.0072e+006
387	0.18	1.0001e-002	3.0002e-002	3.9599e+005
388	0.17	2.0001e-002	3.0002e-002	2.8613e+005
389	0.17	2.0001e-002	2.0002e-002	2.9827e+005
363	9.9979e-003	1.0001e-002	3.0002e-002	1.0879e+006
