Node Number	X Location (m)	Y Location (m)	Z Location (m)	Direct Stress (Pa)
1	-2.13e-006	0.22	3.0002e-002	-6.2562e-002
2	9.9979e-003	0.22	3.0002e-002	-7.93e-007
3	-2.0002e-002	0.22	3.0002e-002	0.10553
4	-2.13e-006	0.18	3.0002e-002	1.107
5	-2.13e-006	0.2	3.0002e-002	0.27021
6	9.9979e-003	0.18	3.0002e-002	7.9314e-005
7	-2.0002e-002	0.18	3.0002e-002	0.58334
8	-2.0002e-002	0.2	3.0002e-002	0.83156
9	-5.0002e-002	0.22	3.0002e-002	-1.0332e-004
10	-2.12e-006	0.14	3.0002e-002	4.0763
11	-2.125e-006	0.16	3.0002e-002	2.5837
12	-2.12e-006	0.1	3.0002e-002	102.34
13	-2.12e-006	0.12	3.0002e-002	27.122
14	-2.12e-006	6.0001e-002	3.0002e-002	351.13
15	-2.12e-006	8.0001e-002	3.0002e-002	264.43
16	9.9979e-003	6.0001e-002	3.0002e-002	-1.2477e-004
17	-2.0002e-002	0.14	3.0002e-002	-9.2231
18	-2.0002e-002	0.16	3.0002e-002	-1.5164e-002
19	-5.0002e-002	0.18	3.0002e-002	7.5056e-005
20	9.9979e-003	0.14	3.0002e-002	-1.96e-006
21	-2.0002e-002	0.1	3.0002e-002	-41.526
22	-2.0002e-002	0.12	3.0002e-002	-23.423
23	9.9979e-003	0.1	3.0002e-002	-6.4958e-005
24	-2.0002e-002	6.0001e-002	3.0002e-002	-1017.4
25	-2.12e-006	2.0001e-002	3.0002e-002	17476
26	-2.12e-006	4.0001e-002	3.0002e-002	2476.3
27	-2.12e-006	6.1e-007	3.0002e-002	88976
28	-2.0002e-002	6.2e-007	3.0002e-002	70386
29	-2.0002e-002	6.1e-007	-4.9998e-002	-1.0763e+005
30	-2.0002e-002	6.1333e-007	-2.3332e-002	1.5583e+005
31	-2.0002e-002	6.1667e-007	3.3349e-003	1.5789e+005
32	0.13	6.1e-007	3.0002e-002	-5378.7
33	4.9979e-003	6.1e-007	-3.6665e-002	-2.1957e+005
34	2.9998e-002	6.1e-007	-2.3332e-002	-2.1854e+005
35	5.4998e-002	6.1e-007	-9.9985e-003	-2.1752e+005
36	7.9998e-002	6.1e-007	3.3348e-003	-2.1649e+005
37	0.105	6.1e-007	1.6668e-002	-2.1546e+005
38	0.104	6.1e-007	3.0002e-002	1.983e+005
39	7.7998e-002	6.1e-007	3.0002e-002	1.983e+005
40	5.1998e-002	6.1e-007	3.0002e-002	1.983e+005
41	2.5998e-002	6.1e-007	3.0002e-002	1.983e+005
42	-2.12e-006	-1.9999e-002	3.0002e-002	17476
43	-2.12e-006	-5.9999e-002	3.0002e-002	351.12
44	-2.12e-006	-3.9999e-002	3.0002e-002	2476.2
45	-2.11e-006	-9.9999e-002	3.0002e-002	102.34
46	-2.115e-006	-7.9999e-002	3.0002e-002	264.43
47	-2.11e-006	-0.14	3.0002e-002	4.0766
48	-2.11e-006	-0.12	3.0002e-002	27.122
49	9.9979e-003	-0.14	3.0002e-002	5.8704e-005
50	-5.0002e-002	0.14	3.0002e-002	2.995e-005
51	-2.0002e-002	8.0001e-002	3.0002e-002	-260.44
52	-5.0002e-002	0.1	3.0002e-002	3.6952e-005
53	-5.0002e-002	6.0001e-002	3.0002e-002	-4.9063e-005
54	9.9979e-003	2.0001e-002	3.0002e-002	7.2925e-006
55	-2.0002e-002	2.0001e-002	3.0002e-002	-15910
56	-2.0002e-002	2.0001e-002	-4.9998e-002	-1.444e+005
57	-2.0002e-002	2.0001e-002	3.3349e-003	-1.8791e+005
58	-2.0002e-002	2.0001e-002	-2.3332e-002	-1.8996e+005
59	-3.0002e-002	2.0001e-002	-4.9998e-002	-1.4579e+005
60	-8.0002e-002	2.0001e-002	-4.9998e-002	3924.2
61	-5.5002e-002	2.0001e-002	-4.9998e-002	-54460
62	-8.0002e-002	5.0001e-002	-8.9998e-002	40837
63	-8.0002e-002	3.5001e-002	-6.9998e-002	1.2405e+005
64	-3.0002e-002	5.0001e-002	-8.9998e-002	-1.0888e+005
65	-5.5002e-002	5.0001e-002	-8.9998e-002	6.9497e-037
66	-3.0002e-002	3.5001e-002	-6.9998e-002	-3.251e+005
67	-2.0002e-002	-1.9999e-002	-4.9998e-002	-1.444e+005
68	0.16	6.2e-007	3.0002e-002	-1361.
69	9.9979e-003	-1.9999e-002	3.0002e-002	1.0047e-004
70	-2.0002e-002	-1.9999e-002	3.0002e-002	-15910
71	9.9979e-003	-5.9999e-002	3.0002e-002	-3.4398e-006
72	-2.0002e-002	-5.9999e-002	3.0002e-002	-1017.4
73	-2.0002e-002	-9.9999e-002	3.0002e-002	-41.525
74	-2.0002e-002	-7.9999e-002	3.0002e-002	-260.44
75	-2.0002e-002	-0.14	3.0002e-002	-9.2233
76	-2.0002e-002	-0.12	3.0002e-002	-23.423
77	-2.0002e-002	-0.18	3.0002e-002	0.58303
78	-2.0002e-002	-0.16	3.0002e-002	-1.4354e-002
79	-5.0002e-002	-0.18	3.0002e-002	2.252e-005
80	9.9979e-003	-9.9999e-002	3.0002e-002	-1.0937e-004
81	-2.11e-006	-0.18	3.0002e-002	1.1068
82	-2.11e-006	-0.16	3.0002e-002	2.5828
83	-2.11e-006	-0.22	3.0002e-002	-6.2334e-002
84	-2.11e-006	-0.2	3.0002e-002	0.2706
85	9.9979e-003	-0.22	3.0002e-002	-6.1457e-005
86	-2.0002e-002	4.0001e-002	3.0002e-002	-2473.5
87	-5.0002e-002	2.0001e-002	3.0002e-002	68438
88	-9.0002e-002	2.0001e-002	-4.9998e-002	-28680
89	-0.11	5.0001e-002	-8.9998e-002	6.0664e-005
90	2.13e-006	5.0001e-002	-8.9998e-002	1.5429e-037
91	-3.0002e-002	-1.9999e-002	-4.9998e-002	-1.4579e+005
92	-8.0002e-002	-1.9999e-002	-4.9998e-002	3924.3
93	-5.5002e-002	-1.9999e-002	-4.9998e-002	-54460
94	-8.0002e-002	-4.9999e-002	-8.9998e-002	40837
95	-8.0002e-002	-3.4999e-002	-6.9998e-002	1.2405e+005
96	-3.0002e-002	-4.9999e-002	-8.9998e-002	-1.0888e+005
97	-5.5002e-002	-4.9999e-002	-8.9998e-002	8.3461e-037
98	2.12e-006	-4.9999e-002	-8.9998e-002	1.2133e-004
99	0.24	6.2e-007	9.0001e-002	3447.9
100	0.18	6.2e-007	4.5002e-002	2460.2
101	0.2	6.2e-007	6.0001e-002	3614.7
102	0.22	6.2e-007	7.5001e-002	4769.2
103	0.21	6.2e-007	3.0002e-002	-4126.3
104	0.185	6.2e-007	3.0002e-002	-8107.8
105	0.24	6.e-007	7.0002e-002	-2950.7
106	0.225	6.1e-007	5.0002e-002	-6873.5
107	-2.0002e-002	-1.9999e-002	3.3349e-003	-1.8791e+005
108	-2.0002e-002	-1.9999e-002	-2.3332e-002	-1.8997e+005
109	-2.0002e-002	-3.9999e-002	3.0002e-002	-2473.5
110	-5.0002e-002	-5.9999e-002	3.0002e-002	1.7139e-004
111	-2.0002e-002	-0.22	3.0002e-002	0.10551
112	-2.0002e-002	-0.2	3.0002e-002	0.83198
113	-5.0002e-002	-9.9999e-002	3.0002e-002	-1.5074e-006
114	-5.0002e-002	-0.14	3.0002e-002	2.4e-005
115	9.9979e-003	-0.18	3.0002e-002	-4.2014e-005
116	-9.0002e-002	2.0001e-002	1.52e-006	43549
117	-7.0002e-002	2.0001e-002	1.5002e-002	76367
118	-0.15	2.0001e-002	-4.9998e-002	4.6513e-004
119	-0.12	2.0001e-002	-4.9998e-002	-8.0113e-002
120	-0.13	2.0001e-002	-1.9998e-002	7071.7
121	-0.11	2.0001e-002	-3.4998e-002	-25528
122	-0.13	2.0001e-002	1.52e-006	38229
123	-0.13	-1.9999e-002	1.52e-006	38229
124	-0.13	6.e-007	1.52e-006	15277
125	-0.13	-1.9999e-002	-1.9998e-002	7071.7
126	-9.0002e-002	-1.9999e-002	-4.9998e-002	-28680
127	-0.11	-1.9999e-002	-3.4998e-002	-25528
128	-3.0002e-002	-3.4999e-002	-6.9998e-002	-3.2511e+005
129	-0.11	-4.9999e-002	-8.9998e-002	6.0664e-005
130	0.16	1.e-002	3.e-002	-8.4211
131	0.16	-1.e-002	3.e-002	-8.5106
132	0.21	-0.13	3.0002e-002	-1.7253
133	0.17	-3.4e-002	3.e-002	-10.777
134	0.18	-5.8e-002	3.0001e-002	-10.878
135	0.19	-8.2e-002	3.0001e-002	-11.007
136	0.2	-0.106	3.0001e-002	-11.149
137	0.21	-2.6e-002	3.0002e-002	7.9155
138	0.21	-5.2e-002	3.0002e-002	7.9275
139	0.21	-7.8e-002	3.0002e-002	7.9098
140	0.21	-0.104	3.0002e-002	7.8777
141	0.21	0.13	3.e-002	-1.7298
142	0.21	0.104	3.e-002	7.8654
143	0.21	7.8e-002	3.0001e-002	7.9205
144	0.21	5.2e-002	3.0001e-002	7.9612
145	0.21	2.6e-002	3.0001e-002	7.9723
146	0.17	3.4e-002	3.e-002	-10.657
147	0.18	5.8e-002	3.e-002	-10.781
148	0.19	8.2e-002	3.e-002	-10.933
149	0.2	0.106	3.e-002	-11.098
150	-5.0002e-002	-1.9999e-002	3.0002e-002	68438
151	-5.0002e-002	-0.22	3.0002e-002	3.4263e-005
152	-9.0002e-002	-1.9999e-002	1.52e-006	43549
153	-9.0002e-002	6.1e-007	1.52e-006	-3919.2
154	-0.11	2.0001e-002	1.52e-006	59355
155	-0.11	-1.9999e-002	1.52e-006	59355
156	-0.15	-1.9999e-002	-4.9998e-002	7.0232e-005
