Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Combined Stress (Pa)
202	-2.3551e-003	1.0001e-002	-4.0587e-002	-40172
235	7.9998e-002	6.e-007	3.0002e-002	1.3031e+006
219	-1.0002e-002	-5.8001e-002	-9.3998e-002	-3.3243e-013
220	-2.15e-006	-5.8001e-002	-9.3998e-002	-3.3243e-013
208	-5.0002e-002	-3.0001e-002	-5.9998e-002	2.007e+006
209	-4.0002e-002	-3.0001e-002	-5.9998e-002	7.5611e+005
216	-4.0002e-002	-5.8001e-002	-9.3998e-002	-3.3243e-013
217	-3.0002e-002	-5.8001e-002	-9.3998e-002	-3.3243e-013
214	-5.0002e-002	-4.8001e-002	-9.3998e-002	1.1159e+006
213	-5.0002e-002	-4.8001e-002	-8.3998e-002	1.9186e+006
146	-5.0002e-002	4.0001e-002	3.0002e-002	6.8917e+005
192	-4.0002e-002	4.0001e-002	3.0002e-002	3.8472e+005
218	-2.0002e-002	-5.8001e-002	-9.3998e-002	-3.3243e-013
206	-5.0002e-002	-2.0001e-002	-4.9998e-002	2.4385e+006
207	-5.0002e-002	-3.0001e-002	-4.9998e-002	1.4379e+006
225	-1.0002e-002	3.0001e-002	3.e-002	1.6113e+006
195	-2.15e-006	-1.0001e-002	3.0002e-002	1.2747e+006
131	-9.0002e-002	2.0001e-002	-4.9998e-002	7.6902e+005
194	-8.0002e-002	2.0001e-002	-4.9998e-002	2.5773e+006
200	6.4686e-003	6.e-007	-3.5881e-002	2.4508e+005
201	6.4684e-003	1.0001e-002	-3.5881e-002	2.8114e+005
231	3.9998e-002	6.e-007	3.0002e-002	8.3992e+005
236	8.9998e-002	6.e-007	3.0002e-002	1.4305e+006
181	-2.0002e-002	2.0001e-002	-3.9998e-002	3.3891e+005
205	-4.0002e-002	-2.0001e-002	-4.9998e-002	2.9142e+006
179	-2.0002e-002	3.0001e-002	-4.9998e-002	7.5687e+005
237	9.9998e-002	6.e-007	3.0002e-002	9.1558e+005
238	9.9998e-002	1.0001e-002	3.0002e-002	4.729e+005
239	0.11	1.0001e-002	3.0002e-002	8.5782e+005
240	0.12	1.0001e-002	3.0002e-002	9.4051e+005
185	-2.0002e-002	2.0001e-002	1.5e-006	1.265e+006
215	-5.0002e-002	-5.8001e-002	-9.3998e-002	5.9049e+005
162	-2.15e-006	-2.0001e-002	3.0002e-002	1.1161e+006
173	-3.0002e-002	-2.0001e-002	-4.9998e-002	7.6069e+005
170	-2.0002e-002	-2.0001e-002	-4.9999e-002	3.5608e+005
127	-9.0002e-002	-2.0001e-002	-4.9998e-002	7.6914e+005
241	0.13	1.0001e-002	3.0002e-002	9.6334e+005
26	-1.0002e-002	-0.13	3.0002e-002	2.5214e+005
27	-2.15e-006	-0.13	3.0002e-002	2.6967e+005
28	-2.15e-006	-0.12	3.0002e-002	5.7612e+005
29	-2.15e-006	-0.11	3.0002e-002	3.7637e+005
31	-1.0002e-002	-0.1	3.0002e-002	4.1185e+005
32	-1.0002e-002	-9.0001e-002	3.0002e-002	4.9532e+005
18	-3.0002e-002	-0.17	3.0002e-002	88383
19	-2.0002e-002	-0.17	3.0002e-002	97712
30	-1.0002e-002	-0.11	3.0002e-002	3.6499e+005
10	-1.0002e-002	-0.19	3.0002e-002	40930
11	-1.0002e-002	-0.18	3.0002e-002	55923
16	-2.0002e-002	-0.18	3.0002e-002	4810.8
33	-2.15e-006	-9.0001e-002	3.0002e-002	5.1753e+005
34	-2.15e-006	-8.0001e-002	3.0002e-002	1.0821e+006
35	-2.15e-006	-7.0001e-002	3.0002e-002	6.5414e+005
3	-3.0002e-002	-0.22	3.0002e-002	8853.
4	-2.0002e-002	-0.22	3.0002e-002	20400
6	-1.0002e-002	-0.21	3.0002e-002	21012
15	-2.0002e-002	-0.21	3.0002e-002	12058
20	-2.0002e-002	-0.16	3.0002e-002	2.2144e+005
24	-2.0002e-002	-0.14	3.0002e-002	8212.3
25	-1.0002e-002	-0.14	3.0002e-002	1.911e+005
22	-3.0002e-002	-0.15	3.0002e-002	1.6331e+005
23	-3.0002e-002	-0.14	3.0002e-002	1.8887e+005
21	-2.0002e-002	-0.15	3.0002e-002	1.6648e+005
36	-1.0002e-002	-7.0001e-002	3.0002e-002	9.3065e+005
37	-2.0002e-002	-7.0001e-002	3.0002e-002	6.7223e+005
7	-2.15e-006	-0.21	3.0002e-002	15728
38	-2.0002e-002	-8.0001e-002	3.0002e-002	1.0996e+006
39	-2.0002e-002	-9.0001e-002	3.0002e-002	5.0822e+005
5	-1.0002e-002	-0.22	3.0002e-002	15268
9	-2.15e-006	-0.19	3.0002e-002	40819
1	-5.0002e-002	-0.22	3.0002e-002	384.91
2	-4.0002e-002	-0.22	3.0002e-002	1924.6
8	-2.15e-006	-0.2	3.0002e-002	38916
12	-2.15e-006	-0.18	3.0002e-002	1924.6
13	9.9979e-003	-0.18	3.0002e-002	384.91
17	-3.0002e-002	-0.18	3.0002e-002	54450
14	-2.15e-006	-0.22	3.0002e-002	1924.6
42	-2.0002e-002	-0.1	3.0002e-002	21781
53	-1.0002e-002	-0.15	3.0002e-002	1.6181e+005
64	-2.0002e-002	-6.0001e-002	3.0002e-002	20400
57	-1.0002e-002	-6.0001e-002	3.0002e-002	1.025e+006
43	-2.15e-006	-0.1	3.0002e-002	1924.6
68	-3.0002e-002	-0.11	3.0002e-002	3.6742e+005
41	-3.0002e-002	-0.1	3.0002e-002	4.0908e+005
51	-4.0002e-002	-0.14	3.0002e-002	1924.6
78	-1.0002e-002	-3.0001e-002	3.e-002	1.6113e+006
79	-2.15e-006	-3.0001e-002	3.e-002	1924.6
70	-2.0002e-002	-0.12	3.0002e-002	5.7091e+005
69	-2.0002e-002	-0.11	3.0002e-002	3.7544e+005
61	-5.0002e-002	-0.18	3.0002e-002	384.91
60	-4.0002e-002	-0.18	3.0002e-002	1924.6
75	-2.15e-006	-5.0001e-002	3.0002e-002	1.8637e+006
76	-2.15e-006	-4.0001e-002	3.0002e-002	2.045e+006
81	-2.0002e-002	-3.0001e-002	3.e-002	8.2006e+005
87	-5.0002e-002	-2.0001e-002	3.0002e-002	4.6117e+005
88	-5.0002e-002	-1.0001e-002	3.0002e-002	4.5428e+005
90	-5.0002e-002	9.9994e-003	3.0002e-002	4.5434e+005
91	-5.0002e-002	1.9999e-002	3.0002e-002	4.613e+005
74	9.9979e-003	-5.0001e-002	3.0002e-002	2.0427e+006
47	-1.0002e-002	-0.17	3.0002e-002	89703
86	-5.0002e-002	-3.0001e-002	3.0002e-002	4.8435e+005
59	-5.0002e-002	-0.1	3.0002e-002	384.91
58	-4.0002e-002	-0.1	3.0002e-002	1924.6
82	-2.0002e-002	-4.0001e-002	3.0002e-002	1.0782e+006
93	-5.8002e-002	3.0001e-002	2.4002e-002	3.6445e+005
92	-5.0002e-002	3.0001e-002	3.0002e-002	4.8447e+005
44	9.9979e-003	-0.1	3.0002e-002	384.91
56	-2.15e-006	-0.17	3.0002e-002	99875
54	-2.15e-006	-0.15	3.0002e-002	1.6582e+005
94	-6.6002e-002	3.0001e-002	1.8002e-002	3.3688e+005
63	-2.15e-006	-0.14	3.0002e-002	1924.6
77	-1.0002e-002	-4.0001e-002	3.e-002	1.8614e+006
52	-5.0002e-002	-0.14	3.0002e-002	384.91
89	-5.0002e-002	-6.e-007	3.0002e-002	4.52e+005
96	-8.2002e-002	3.0001e-002	6.0016e-003	3.9113e+005
95	-7.4002e-002	3.0001e-002	1.2002e-002	3.1261e+005
50	-3.0002e-002	-0.13	3.0002e-002	2.501e+005
62	-2.0002e-002	-0.13	3.0002e-002	2.6427e+005
55	-2.15e-006	-0.16	3.0002e-002	2.2351e+005
72	-2.15e-006	-6.0001e-002	3.0002e-002	5.7467e+005
73	9.9979e-003	-6.0001e-002	3.0002e-002	1.8657e+006
65	-3.0002e-002	-6.0001e-002	3.0002e-002	8853.
